datetime,SRI,SJI
1902-11-20,18.39173866650229,5.866165850756824
1902-11-21,18.39173866650229,5.866165850756824
1902-11-22,18.39173866650229,5.866165850756824
1902-11-23,18.39173866650229,5.866165850756824
1902-11-24,18.39173866650229,5.866165850756824
1902-11-25,18.39173866650229,5.866165850756824
1902-11-26,18.39173866650229,5.866165850756824
1902-11-27,18.39173866650229,5.866165850756824
1902-11-28,18.39173866650229,5.866165850756824
1902-11-29,18.39173866650229,5.866165850756824
1902-11-30,18.39173866650229,5.866165850756824
1902-12-01,18.39173866650229,5.866165850756824
1902-12-02,18.39173866650229,5.866165850756824
1902-12-03,18.39173866650229,5.866165850756824
1902-12-04,18.39173866650229,5.866165850756824
1902-12-05,18.39173866650229,5.866165850756824
1902-12-06,18.39173866650229,5.866165850756824
1902-12-07,18.39173866650229,5.866165850756824
1902-12-08,18.39173866650229,5.866165850756824
1902-12-09,18.39173866650229,5.866165850756824
1902-12-10,18.39173866650229,5.866165850756824
1902-12-11,18.39173866650229,5.866165850756824
1902-12-12,18.39173866650229,5.866165850756824
1902-12-13,18.39173866650229,5.866165850756824
1902-12-14,18.39173866650229,5.866165850756824
1902-12-15,18.39173866650229,5.866165850756824
1902-12-16,18.39173866650229,5.866165850756824
1902-12-17,18.39173866650229,5.866165850756824
1902-12-18,18.39173866650229,5.866165850756824
1902-12-19,18.39173866650229,5.866165850756824
1902-12-20,18.39173866650229,5.866165850756824
1902-12-21,18.39173866650229,5.866165850756824
1902-12-22,18.39173866650229,5.866165850756824
1902-12-23,18.39173866650229,5.866165850756824
1902-12-24,18.39173866650229,5.866165850756824
1902-12-25,18.39173866650229,5.866165850756824
1902-12-26,18.39173866650229,5.866165850756824
1902-12-27,18.39173866650229,5.866165850756824
1902-12-28,18.39173866650229,5.866165850756824
1902-12-29,18.39173866650229,5.866165850756824
1902-12-30,18.39173866650229,5.866165850756824
1902-12-31,18.39173866650229,5.866165850756824
1903-01-01,9.491145283714154,3.446402726129892
1903-01-02,9.470505951593138,3.427118633763508
1903-01-03,9.392185382205584,3.4357866742429533
1903-01-04,9.408513559656473,3.360505971153268
1903-01-05,9.405124818336262,3.3585423578746605
1903-01-06,9.397675417582352,3.344848673061555
1903-01-07,9.38551317284996,3.3404628758449992
1903-01-08,9.379786341226678,3.3509759154142493
1903-01-09,9.35702313713743,3.3589359410584367
1903-01-10,9.3233713757262,3.3575493737809836
1903-01-11,9.30047588470837,3.3580244929668064
1903-01-12,9.268786668162246,3.351062633471244
1903-01-13,9.281638724795293,3.375601128233124
1903-01-14,9.318227289233334,3.3771465512597696
1903-01-15,9.358120096196458,3.3744911840088543
1903-01-16,9.3912379015427,3.362475879107014
1903-01-17,9.405652467351333,3.351722870484933
1903-01-18,9.485965957872157,3.3747378580894103
1903-01-19,9.664273417708127,3.4366642748157665
1903-01-20,9.92357341319557,3.4616578224156767
1903-01-21,10.167598922085691,3.5289401818325246
1903-01-22,10.211675270860564,3.597400434619951
1903-01-23,10.39946153452443,3.622871174173775
1903-01-24,10.429910344752784,3.6094409918358474
1903-01-25,10.519027813692853,3.6327720897686504
1903-01-26,10.674602656665833,3.6154612974391034
1903-01-27,10.59638135877486,3.6118868823651926
1903-01-28,10.53437043777143,3.5846393712314124
